title,function,function_group,industries,industry_group,cluster
data architect,information technology,Information Technology,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",10
product support analyst,"analyst,information technology","Information Technology, Research and Analysis",law practice,Other,10
life sciences - pharma & biotechnology talent pipeline for internships,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
clinical trial assistant - clinical trial management,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
unsolicited application,information technology,Information Technology,"appliances,electrical,electronics manufacturing","Manufacturing, Other",10
head of technology - renewables,information technology,Information Technology,industrial machinery manufacturing,Manufacturing,10
sap supply chain analyst - onshore wind,information technology,Information Technology,utilities,Other,10
chief technical officer,information technology,Information Technology,education administration programs,Education and Non-profit,10
clinical research associate - entry level,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
bi consultant,information technology,Information Technology,"retail furniture,home furnishings",Retail and Consumer Goods,10
clinical trial assistant - clinical monitoring,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
medical science liaison - pharmaceutical company,"research,analyst,information technology","Information Technology, Research and Analysis","medical equipment manufacturing,hospitals,health care,pharmaceutical manufacturing","Healthcare and Pharmaceuticals, Manufacturing",10
embedded software developer,information technology,Information Technology,machinery manufacturing,Manufacturing,10
casting - team lead,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative",renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",10
data analyst,information technology,Information Technology,pharmaceutical manufacturing,Manufacturing,10
reach – support engineer (debrecen),information technology,Information Technology,"appliances,electrical,electronics manufacturing","Manufacturing, Other",10
scientist,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
medical science liaison,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
it finops analyst,information technology,Information Technology,utilities,Other,10
[janssen] medical science liaison,"research,analyst,information technology","Information Technology, Research and Analysis","hospitals,health care",Healthcare and Pharmaceuticals,10
ai & business analyst (remote internship),"research,analyst,information technology","Information Technology, Research and Analysis","outsourcing,offshoring consulting",Other,10
technical product owner / solution architect - service domain,information technology,Information Technology,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",10
technical support (debrecen),information technology,Information Technology,"appliances,electrical,electronics manufacturing","Manufacturing, Other",10
multimedia designer,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative",environmental services,Energy and Environment,10
clinical data management- study leading roles,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
scientist for qc general analytics,"research,analyst,information technology","Information Technology, Research and Analysis",biotechnology research,Healthcare and Pharmaceuticals,10
qa scientist - qa material management,"research,analyst,information technology","Information Technology, Research and Analysis",biotechnology research,Healthcare and Pharmaceuticals,10
budget & contract analyst,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
producer,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","furniture,home furnishings manufacturing","Manufacturing, Other",10
scientist,"research,analyst,information technology","Information Technology, Research and Analysis","food,beverage services",Food and Beverage,10
senior statistical programmer,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
it manager,information technology,Information Technology,pharmaceutical manufacturing,Manufacturing,10
regional application manager - bakery and lipid,information technology,Information Technology,"food,beverage manufacturing","Food and Beverage, Manufacturing",10
senior developer,information technology,Information Technology,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",10
clinical trial assistant,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
laboratory scientist for process science,"research,analyst,information technology","Information Technology, Research and Analysis",biotechnology research,Healthcare and Pharmaceuticals,10
creative director - girls,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative",manufacturing,Manufacturing,10
head of it infrastructure,information technology,Information Technology,"aviation,aerospace component manufacturing",Aerospace and Defense,10
erp specialist,information technology,Information Technology,"appliances,electrical,electronics manufacturing","Manufacturing, Other",10
senior system engineer,information technology,Information Technology,industrial machinery manufacturing,Manufacturing,10
clinical trial assistant,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
specialist bioprocessing for cell therapy research,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
business engagement & delivery director,information technology,Information Technology,pharmaceutical manufacturing,Manufacturing,10
production artist - ecommerce and paid social media marketing,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","retail apparel,fashion","Other, Retail and Consumer Goods",10
technical project engineer,information technology,Information Technology,maritime transportation,Transportation and Logistics,10
phd positions,"research,analyst,information technology","Information Technology, Research and Analysis",research,Other,10
data engineer,information technology,Information Technology,"oil,gas",Energy and Environment,10
life sciences - pharma & biotechnology - talent pipeline for student assistant positions,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
postdoc in experimental surface science and catalysis,"research,analyst,information technology","Information Technology, Research and Analysis",research,Other,10
it system supporter,information technology,Information Technology,pharmaceutical manufacturing,Manufacturing,10
somali interpreter,information technology,Information Technology,non-profit organizations,Education and Non-profit,10
local study manager,"research,project management,science","Healthcare and Science, Information Technology, Management and Leadership, Research and Analysis","chemical manufacturing,biotechnology research,pharmaceutical manufacturing","Healthcare and Pharmaceuticals, Manufacturing",10
it business systems analyst,information technology,Information Technology,"appliances,electrical,electronics manufacturing,industrial machinery manufacturing,machinery manufacturing","Manufacturing, Other",10
vp workplace solutions & operations,information technology,Information Technology,manufacturing,Manufacturing,10
bulk carrier / eto,information technology,Information Technology,maritime transportation,Transportation and Logistics,10
data engineer,information technology,Information Technology,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",10
digital graduate,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","food,beverage services",Food and Beverage,10
"associate art director, the barn - aarhus","design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","dairy product manufacturing,food,beverage manufacturing,manufacturing","Food and Beverage, Manufacturing",10
software engineer,information technology,Information Technology,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",10
it supporter,information technology,Information Technology,pharmaceutical manufacturing,Manufacturing,10
in vivo senior scientist - cell therapy,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
offshore service operations specialist,information technology,Information Technology,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",10
student analyst,"analyst,information technology","Information Technology, Research and Analysis","oil,gas,international trade,development","Energy and Environment, Other, Transportation and Logistics",10
field service engineer - norway,information technology,Information Technology,medical device,Manufacturing,10
"performance manager, analytics & insights","research,analyst,information technology","Information Technology, Research and Analysis",manufacturing,Manufacturing,10
user experience designer,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative",environmental services,Energy and Environment,10
"design internship, bags and accessories","design,art,creative,information technology","Editing, Information Technology, Writing, and Creative",textile manufacturing,Manufacturing,10
associate scientist for cell therapy research,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
quality and food safety manager/senior specialist in global qehs - aarhus,"research,analyst,information technology","Information Technology, Research and Analysis","dairy product manufacturing,food,beverage manufacturing,manufacturing","Food and Beverage, Manufacturing",10
manufacturing support scientist,"research,analyst,information technology","Information Technology, Research and Analysis",biotechnology research,Healthcare and Pharmaceuticals,10
ux/ui designer,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative",pharmaceutical manufacturing,Manufacturing,10
clinical trial associate,"research,project management,other","Information Technology, Management and Leadership, Other, Research and Analysis","biotechnology research,pharmaceutical manufacturing","Healthcare and Pharmaceuticals, Manufacturing",10
global unsolicited application,information technology,Information Technology,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",10
data and economic analysis intern,information technology,Information Technology,international affairs,Other,10
it systems service delivery management officer,information technology,Information Technology,international affairs,Other,10
post approval studies manager,"project management,management,research","Information Technology, Management and Leadership, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
head of global incident management,information technology,Information Technology,"appliances,electrical,electronics manufacturing","Manufacturing, Other",10
technical officer (alcohol networks),information technology,Information Technology,international affairs,Other,10
associate process scientist,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
it apprentices,information technology,Information Technology,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",10
software engineer,information technology,Information Technology,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",10
r&d team leader,information technology,Information Technology,industrial machinery manufacturing,Manufacturing,10
analytics engineer intern,information technology,Information Technology,consumer services,Retail and Consumer Goods,10
unsolicited applications / simac,information technology,Information Technology,machinery manufacturing,Manufacturing,10
it administrator,information technology,Information Technology,motor vehicle manufacturing,Manufacturing,10
it system supporter,information technology,Information Technology,pharmaceutical manufacturing,Manufacturing,10
"o+o graduate in copenhagen, denmark","research,analyst,information technology","Information Technology, Research and Analysis","personal care product manufacturing,manufacturing","Manufacturing, Services and Miscellaneous",10
physical product design illustrator,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","retail apparel,fashion","Other, Retail and Consumer Goods",10
product development scientist,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
senior scientist for cell therapy research,"research,analyst,information technology","Information Technology, Research and Analysis",pharmaceutical manufacturing,Manufacturing,10
it and logistic support,"information technology,supply chain,administrative","Administrative and Support, Information Technology, Purchasing and Supply Chain","aviation,aerospace component manufacturing",Aerospace and Defense,10
fashion advisor,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","retail,retail luxury goods,jewelry","Other, Retail and Consumer Goods",10
sales engineer prague,"consulting,sales","Management and Leadership, Sales and Marketing",motor vehicle manufacturing,Manufacturing,11
product developer,"product management,marketing","Management and Leadership, Sales and Marketing",textile manufacturing,Manufacturing,11
group quality director - (automotive),"sales,business development","Management and Leadership, Sales and Marketing","appliances,electrical,electronics manufacturing,industrial machinery manufacturing,manufacturing","Manufacturing, Other",11
strategic business partner for vice president,"business development,sales","Management and Leadership, Sales and Marketing",pharmaceutical manufacturing,Manufacturing,11
junior key account manager,"sales,business development","Management and Leadership, Sales and Marketing",consumer goods,Retail and Consumer Goods,11
account manager-  electronic components,"sales,business development","Management and Leadership, Sales and Marketing",semiconductor manufacturing,Manufacturing,11
sales assistant – uniqlo stroget,"sales,business development","Management and Leadership, Sales and Marketing",retail,Retail and Consumer Goods,11
vp of product development,"product management,marketing","Management and Leadership, Sales and Marketing","computers,electronics manufacturing","Manufacturing, Other",11
brand manager,"business development,marketing,product management","Management and Leadership, Sales and Marketing","chemical manufacturing,biotechnology research,pharmaceutical manufacturing","Healthcare and Pharmaceuticals, Manufacturing",11
銷售 - 美商上市半導體元件商,"sales,business development","Management and Leadership, Sales and Marketing","appliances,electrical,electronics manufacturing,industrial machinery manufacturing,manufacturing","Manufacturing, Other",11
sales operations - registration documentation specialist,"sales,business development","Management and Leadership, Sales and Marketing",motor vehicle manufacturing,Manufacturing,11
commercial director,"business development,sales","Management and Leadership, Sales and Marketing",medical equipment manufacturing,Healthcare and Pharmaceuticals,11
international ecomm store manager,"sales,business development","Management and Leadership, Sales and Marketing","retail apparel,fashion","Other, Retail and Consumer Goods",11
global project associate director,"consulting,information technology,sales","Information Technology, Management and Leadership, Sales and Marketing",pharmaceutical manufacturing,Manufacturing,11
key account manager to global accounts,"sales,business development","Management and Leadership, Sales and Marketing","appliances,electrical,electronics manufacturing","Manufacturing, Other",11
sales executive,"sales,business development","Management and Leadership, Sales and Marketing",education management,Education and Non-profit,11
market events executive,"business development,marketing,art,creative","Editing, Management and Leadership, Sales and Marketing, Writing, and Creative","food,beverage services",Food and Beverage,11
sales assistant,"sales,business development","Management and Leadership, Sales and Marketing","retail apparel,fashion","Other, Retail and Consumer Goods",11
regional manager - north poland,"management,sales,customer service","Customer Service, Management and Leadership, Sales and Marketing","retail apparel,fashion,retail","Other, Retail and Consumer Goods",11
assistant store manager,"sales,business development","Management and Leadership, Sales and Marketing","retail apparel,fashion","Other, Retail and Consumer Goods",11
business development manager,"sales,business development,product management","Management and Leadership, Sales and Marketing","packaging,containers manufacturing",Other,11
market development manager,"distribution,sales,strategy,planning","Management and Leadership, Manufacturing and Engineering, Sales and Marketing","food,beverage services,food,beverage manufacturing,manufacturing","Food and Beverage, Manufacturing",11
head of commercial,"management,sales,business development","Management and Leadership, Sales and Marketing","food,beverage services",Food and Beverage,11
clinical science associate - rare disease (南區),"sales,strategy,planning,marketing","Management and Leadership, Sales and Marketing","chemical manufacturing,biotechnology research,pharmaceutical manufacturing","Healthcare and Pharmaceuticals, Manufacturing",11
key account manager,"sales,business development","Management and Leadership, Sales and Marketing",renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",11
"vice president, global inbound warehouse operations for gmp raw materials","business development,sales","Management and Leadership, Sales and Marketing",pharmaceutical manufacturing,Manufacturing,11
business analyst,"sales,business development","Management and Leadership, Sales and Marketing","food,beverage services,food,beverage manufacturing,manufacturing","Food and Beverage, Manufacturing",11
brand ambassador - copenhagen,"sales,business development","Management and Leadership, Sales and Marketing",retail,Retail and Consumer Goods,11
junior power bi specialist (talent acquisition),"business development,sales","Management and Leadership, Sales and Marketing",biotechnology research,Healthcare and Pharmaceuticals,11
business to business director,"business development,sales","Management and Leadership, Sales and Marketing",retail,Retail and Consumer Goods,11
senior account manager,"sales,business development,science","Healthcare and Science, Management and Leadership, Sales and Marketing","research services,biotechnology research,pharmaceutical manufacturing","Healthcare and Pharmaceuticals, Manufacturing, Services and Miscellaneous",11
"account manager, residential energy","sales,business development","Management and Leadership, Sales and Marketing","renewable energy semiconductor manufacturing,motor vehicle manufacturing,utilities","Energy and Environment, Manufacturing, Other",11
business development specialist (web3 & blockchain)(sa10237),"business development,marketing","Management and Leadership, Sales and Marketing",computer hardware manufacturing,Manufacturing,11
area sales manager,"sales,business development","Management and Leadership, Sales and Marketing",maritime transportation,Transportation and Logistics,11
marketing intern,"advertising,marketing,product management","Management and Leadership, Sales and Marketing","retail luxury goods,jewelry","Other, Retail and Consumer Goods",11
distributor business manager,"sales,business development","Management and Leadership, Sales and Marketing","oil,gas",Energy and Environment,11
sales assistant (consumer goods),"sales,business development","Management and Leadership, Sales and Marketing",consumer goods,Retail and Consumer Goods,11
key account manager,"sales,business development,product management","Management and Leadership, Sales and Marketing","telecommunications,computers,electronics manufacturing,consumer services","Manufacturing, Other, Retail and Consumer Goods, Technology and Information",11
service owner o365,"business development,sales","Management and Leadership, Sales and Marketing","food,beverage services",Food and Beverage,11
controlling manager,"sales,management","Management and Leadership, Sales and Marketing",consumer services,Retail and Consumer Goods,11
"novo nordisk consulting, unsolicited applications","consulting,information technology,sales","Information Technology, Management and Leadership, Sales and Marketing",pharmaceutical manufacturing,Manufacturing,11
area manager multi label,"sales,business development","Management and Leadership, Sales and Marketing","retail apparel,fashion","Other, Retail and Consumer Goods",11
market development manager (mdm) - scandinavia,"sales,business development","Management and Leadership, Sales and Marketing","appliances,electrical,electronics manufacturing","Manufacturing, Other",11
global business development director,"business development,sales","Management and Leadership, Sales and Marketing",renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",11
business transformation manager,"business development,sales","Management and Leadership, Sales and Marketing",manufacturing,Manufacturing,11
sales coordinator,"sales,business development","Management and Leadership, Sales and Marketing","aviation,aerospace component manufacturing",Aerospace and Defense,11
sales accounts manager - plastics,"sales,business development","Management and Leadership, Sales and Marketing",plastics manufacturing,Manufacturing,11
b2b ecommerce business manager - professional products division - copenhagen,"product management,marketing","Management and Leadership, Sales and Marketing","personal care product manufacturing,manufacturing","Manufacturing, Services and Miscellaneous",11
market manager,"sales,business development,marketing","Management and Leadership, Sales and Marketing",chemical manufacturing,Manufacturing,11
part-time sales coordinator (weekend and afternoon / evening shifts),"sales,business development","Management and Leadership, Sales and Marketing",education management,Education and Non-profit,11
therapeutic strategy vice president,"business development,sales","Management and Leadership, Sales and Marketing",pharmaceutical manufacturing,Manufacturing,11
assistant store manager,"sales,business development","Management and Leadership, Sales and Marketing",retail,Retail and Consumer Goods,11
senior business development manager production ce,"business development,sales","Management and Leadership, Sales and Marketing","dairy product manufacturing,food,beverage manufacturing,manufacturing","Food and Beverage, Manufacturing",11
territory sales manager (f/m/d) surgical technologies – denmark (jütland),"sales,business development,marketing","Management and Leadership, Sales and Marketing","appliances,electrical,electronics manufacturing,medical equipment manufacturing,industrial machinery manufacturing","Healthcare and Pharmaceuticals, Manufacturing, Other",11
business solution specialist,"consulting,information technology,sales","Information Technology, Management and Leadership, Sales and Marketing",retail,Retail and Consumer Goods,11
head of sales in the nordic region,"sales,business development","Management and Leadership, Sales and Marketing","appliances,electrical,electronics manufacturing","Manufacturing, Other",11
operations supervisor,"product management,sales,analyst","Management and Leadership, Research and Analysis, Sales and Marketing",tobacco manufacturing,Other,11
store manager,"sales,business development","Management and Leadership, Sales and Marketing",retail,Retail and Consumer Goods,11
partnership sales manager,"sales,business development","Management and Leadership, Sales and Marketing",real estate,Real Estate and Construction,11
"junior analyst, modelling","business development,sales","Management and Leadership, Sales and Marketing",renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",11
crm consultant,"consulting,information technology,sales","Information Technology, Management and Leadership, Sales and Marketing","appliances,electrical,electronics manufacturing","Manufacturing, Other",11
communications coordinator,"marketing,writing,editing,project management","Editing, Information Technology, Management and Leadership, Sales and Marketing, Writing, and Creative","oil,gas",Energy and Environment,11
senior global product manager,"product management,marketing","Management and Leadership, Sales and Marketing",pharmaceutical manufacturing,Manufacturing,11
head of sales and kam - denmark (m/f/d),"sales,business development","Management and Leadership, Sales and Marketing",consumer goods,Retail and Consumer Goods,11
"senior consultant – renewable energy, denmark","consulting,information technology,sales","Information Technology, Management and Leadership, Sales and Marketing",renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",11
commercial head czech republic & slovakia,"sales,management,business development","Management and Leadership, Sales and Marketing","research services,hospitals,health care,pharmaceutical manufacturing","Healthcare and Pharmaceuticals, Manufacturing, Services and Miscellaneous",11
international ecomm store manager,"sales,business development","Management and Leadership, Sales and Marketing","retail apparel,fashion","Other, Retail and Consumer Goods",11
regional sales manager,"sales,business development","Management and Leadership, Sales and Marketing","automation machinery manufacturing,industrial machinery manufacturing",Manufacturing,11
senior product manager eastern cluster,"marketing,product management","Management and Leadership, Sales and Marketing",medical equipment manufacturing,Healthcare and Pharmaceuticals,11
global shipowner sales manager,"sales,business development","Management and Leadership, Sales and Marketing",industrial machinery manufacturing,Manufacturing,11
senior consultant (salaried productivity),"consulting,information technology,sales","Information Technology, Management and Leadership, Sales and Marketing",industrial machinery manufacturing,Manufacturing,11
senior sales manager - offshore,"sales,business development","Management and Leadership, Sales and Marketing",renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",11
external relations intern,"business development,sales","Management and Leadership, Sales and Marketing",international affairs,Other,11
business development manager - paraffin applications,"business development,sales","Management and Leadership, Sales and Marketing",food production,Food and Beverage,11
"product manager, artificial intelligence and innovation","product management,marketing","Management and Leadership, Sales and Marketing",motor vehicle manufacturing,Manufacturing,11
country product manager (india),"product management,marketing","Management and Leadership, Sales and Marketing",computer hardware manufacturing,Manufacturing,11
"digital transformation manager, ifm","business development,sales","Management and Leadership, Sales and Marketing",manufacturing,Manufacturing,11
key account manager,sales,Sales and Marketing,"personal care product manufacturing,manufacturing","Manufacturing, Services and Miscellaneous",12
manager platform ecommerce,"advertising,art,creative,marketing","Editing, Sales and Marketing, Writing, and Creative","sporting goods manufacturing,manufacturing,retail","Manufacturing, Other, Retail and Consumer Goods",12
multilingual translator,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative","translation,localization",Services and Miscellaneous,12
medical writer - biotech,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative","medical equipment manufacturing,hospitals,health care,pharmaceutical manufacturing","Healthcare and Pharmaceuticals, Manufacturing",12
head of finance modular,"finance,sales","Legal and Finance, Sales and Marketing",automation machinery manufacturing,Manufacturing,12
brand communication leader,marketing,Sales and Marketing,"computers,electronics manufacturing","Manufacturing, Other",12
cbo sales responsible,"sales,customer service","Customer Service, Sales and Marketing",retail,Retail and Consumer Goods,12
cost-out specialist,"finance,sales","Legal and Finance, Sales and Marketing","appliances,electrical,electronics manufacturing","Manufacturing, Other",12
senior claims specialist - aarhus,"finance,sales","Legal and Finance, Sales and Marketing","dairy product manufacturing,food,beverage manufacturing,manufacturing","Food and Beverage, Manufacturing",12
web analytics & optimization intern,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative",advertising services,Services and Miscellaneous,12
originator,"finance,sales","Legal and Finance, Sales and Marketing",utilities,Other,12
brand manager,"marketing,sales",Sales and Marketing,"retail luxury goods,jewelry","Other, Retail and Consumer Goods",12
community engagement lead,sales,Sales and Marketing,manufacturing,Manufacturing,12
community manager,marketing,Sales and Marketing,"personal care product manufacturing,manufacturing","Manufacturing, Services and Miscellaneous",12
category manager,"marketing,sales",Sales and Marketing,retail,Retail and Consumer Goods,12
investor relations coordinator,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative",pharmaceutical manufacturing,Manufacturing,12
finance manager – aarhus,"finance,sales","Legal and Finance, Sales and Marketing",railroad equipment manufacturing,Manufacturing,12
senior territory manager - denmark,sales,Sales and Marketing,"it services,it consulting",Services and Miscellaneous,12
fp&a analyst,"finance,sales","Legal and Finance, Sales and Marketing",medical device,Manufacturing,12
finance business partner,"finance,sales","Legal and Finance, Sales and Marketing","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",12
senior copywriter,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative","appliances,electrical,electronics manufacturing","Manufacturing, Other",12
"sales responsible, dach","sales,customer service","Customer Service, Sales and Marketing",retail,Retail and Consumer Goods,12
communication and change management partner,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative",pharmaceutical manufacturing,Manufacturing,12
head of growth,"marketing,sales",Sales and Marketing,"it services,it consulting",Services and Miscellaneous,12
communications coordinator (b2b contract),"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative","appliances,electrical,electronics manufacturing,industrial machinery manufacturing,manufacturing","Manufacturing, Other",12
"business development manager, defence, lystrup","sales,engineering","Manufacturing and Engineering, Sales and Marketing","defense,space manufacturing",Aerospace and Defense,12
"research manager, global insights",sales,Sales and Marketing,manufacturing,Manufacturing,12
social media specialist,"marketing,sales",Sales and Marketing,automotive,Manufacturing,12
category manager global procurement,"marketing,sales",Sales and Marketing,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",12
earned/owned media manager for mac cosmetics nordics,"marketing,sales",Sales and Marketing,personal care product manufacturing,Services and Miscellaneous,12
junior finance manager,"finance,sales","Legal and Finance, Sales and Marketing",manufacturing,Manufacturing,12
d365 finance & operations,"finance,sales","Legal and Finance, Sales and Marketing","it services,it consulting",Services and Miscellaneous,12
brand manager - homecare category,"marketing,sales",Sales and Marketing,"personal care product manufacturing,retail groceries,food,beverage manufacturing","Food and Beverage, Manufacturing, Other, Services and Miscellaneous",12
marketing director - domestic food & beverage,"marketing,sales",Sales and Marketing,"personal care product manufacturing,retail groceries,food,beverage manufacturing","Food and Beverage, Manufacturing, Other, Services and Miscellaneous",12
"construction cost analyst (aarhus n, region central jutland, dk)","finance,sales","Legal and Finance, Sales and Marketing","renewable energy semiconductor manufacturing,environmental services,oil,gas","Energy and Environment, Manufacturing",12
content graduate - consumer products division - copenhagen,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative","personal care product manufacturing,manufacturing","Manufacturing, Services and Miscellaneous",12
senior director digital transformation strategy & partnerships,"marketing,sales",Sales and Marketing,pharmaceutical manufacturing,Manufacturing,12
junior medical communication specialist,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative","personal care product manufacturing,manufacturing","Manufacturing, Services and Miscellaneous",12
finance manager,"finance,sales","Legal and Finance, Sales and Marketing",textile manufacturing,Manufacturing,12
global product marketing (gaming),marketing,Sales and Marketing,"computer hardware manufacturing,computers,electronics manufacturing","Manufacturing, Other",12
lead paid social media specialist (m/f/d),"marketing,sales",Sales and Marketing,apparel & fashion,Retail and Consumer Goods,12
earned/owned media manager for mac cosmetics nordics,marketing,Sales and Marketing,"personal care product manufacturing,manufacturing","Manufacturing, Services and Miscellaneous",12
creative futures is looking for interns,"marketing,sales",Sales and Marketing,advertising services,Services and Miscellaneous,12
b5 - strategic communication manager - “eu knowledge hub on prevention of radicalisation”,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative","international affairs,government administration","Other, Services and Miscellaneous",12
"area sales manager (poland) - based in katowice, kraków or wroclaw",sales,Sales and Marketing,pharmaceutical manufacturing,Manufacturing,12
internship in commercial and portfolio management,"finance,sales","Legal and Finance, Sales and Marketing","appliances,electrical,electronics manufacturing","Manufacturing, Other",12
"global category manager (12 months maternity cover), arla pro - aarhus","marketing,sales",Sales and Marketing,"dairy product manufacturing,food,beverage manufacturing,manufacturing","Food and Beverage, Manufacturing",12
brand management traineeship (prague),"marketing,sales",Sales and Marketing,manufacturing,Manufacturing,12
sales manager,sales,Sales and Marketing,renewable energy semiconductor manufacturing,"Energy and Environment, Manufacturing",12
sales advisor 8-20 h/week,sales,Sales and Marketing,retail,Retail and Consumer Goods,12
division manager ( apparel),"marketing,sales",Sales and Marketing,"appliances,electrical,electronics manufacturing,industrial machinery manufacturing,manufacturing","Manufacturing, Other",12
business development manager,sales,Sales and Marketing,"appliances,electrical,electronics manufacturing,industrial machinery manufacturing,machinery manufacturing","Manufacturing, Other",12
seo / customer support,"marketing,sales",Sales and Marketing,"online audio,video media",Services and Miscellaneous,12
affiliate marketing manager based in copenhagen or remote,"marketing,sales",Sales and Marketing,advertising services,Services and Miscellaneous,12
(junior) business analyst,sales,Sales and Marketing,"medical equipment manufacturing,hospitals,health care,pharmaceutical manufacturing","Healthcare and Pharmaceuticals, Manufacturing",12
head of growth,"marketing,sales",Sales and Marketing,"public relations,communications services",Services and Miscellaneous,12
senior finance partner,"finance,sales","Legal and Finance, Sales and Marketing",pharmaceutical manufacturing,Manufacturing,12
"global portfolio manager, bakery","finance,sales","Legal and Finance, Sales and Marketing",food production,Food and Beverage,12
responsible engagement manager,sales,Sales and Marketing,manufacturing,Manufacturing,12
communications officer,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative",international affairs,Other,12
product marketing manager (data management),"marketing,sales",Sales and Marketing,"it services,it consulting",Services and Miscellaneous,12
category buyer,"sales,marketing",Sales and Marketing,industrial machinery manufacturing,Manufacturing,12
"communication, marketing, training & hr - talent pipeline for student assistant positions","marketing,sales",Sales and Marketing,pharmaceutical manufacturing,Manufacturing,12
communication manager,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative",pharmaceutical manufacturing,Manufacturing,12
content marketing specialist,"marketing,advertising,public relations","Other, Sales and Marketing","motor vehicle manufacturing,industrial machinery manufacturing,machinery manufacturing",Manufacturing,12
internship in wireless communication,"marketing,public relations,writing,editing","Editing, Other, Sales and Marketing, Writing, and Creative","appliances,electrical,electronics manufacturing","Manufacturing, Other",12
market research analyst,"marketing,sales",Sales and Marketing,"appliances,electrical,electronics manufacturing,wellness,fitness services,hospitals,health care","Healthcare and Pharmaceuticals, Manufacturing, Other, Services and Miscellaneous",12
senior finance partner for business development,"finance,sales","Legal and Finance, Sales and Marketing",pharmaceutical manufacturing,Manufacturing,12
